=================================================
 RISC-V Multicycle Core Simulation Started
=================================================
VCD info: dumpfile /var/www/html/beta/v1/editor/efs-users/2063/w/design/testbench/testbench.vcd opened for output.
Time: 3835000 ns | PC: 00400180 | ALU_Out: 00400184
Time: 3875000 ns | PC: 00400184 | ALU_Out: 00400188
Time: 3915000 ns | PC: 00400188 | ALU_Out: 0040018c
Time: 3955000 ns | PC: 0040018c | ALU_Out: 00400190
Time: 3995000 ns | PC: 00400190 | ALU_Out: 00400194
Time: 4035000 ns | PC: 00400194 | ALU_Out: 00400198
Time: 4075000 ns | PC: 00400198 | ALU_Out: 0040019c
Time: 4115000 ns | PC: 0040019c | ALU_Out: 004001a0
Time: 4155000 ns | PC: 004001a0 | ALU_Out: 004001a4
Time: 4195000 ns | PC: 004001a4 | ALU_Out: 004001a8
Time: 4235000 ns | PC: 004001a8 | ALU_Out: 004001ac
Time: 4275000 ns | PC: 004001ac | ALU_Out: 004001b0
Time: 4315000 ns | PC: 004001b0 | ALU_Out: 004001b4
Time: 4355000 ns | PC: 004001b4 | ALU_Out: 004001b8
Time: 4395000 ns | PC: 004001b8 | ALU_Out: 004001bc
Time: 4435000 ns | PC: 004001bc | ALU_Out: 004001c0
Time: 4475000 ns | PC: 004001c0 | ALU_Out: 004001c4
Time: 4515000 ns | PC: 004001c4 | ALU_Out: 004001c8
Time: 4555000 ns | PC: 004001c8 | ALU_Out: 004001cc
Time: 4595000 ns | PC: 004001cc | ALU_Out: 004001d0
Time: 4635000 ns | PC: 004001d0 | ALU_Out: 004001d4
Time: 4675000 ns | PC: 004001d4 | ALU_Out: 004001d8
Time: 4715000 ns | PC: 004001d8 | ALU_Out: 004001dc
Time: 4755000 ns | PC: 004001dc | ALU_Out: 004001e0
Time: 4795000 ns | PC: 004001e0 | ALU_Out: 004001e4
Time: 4835000 ns | PC: 004001e4 | ALU_Out: 004001e8
Time: 4875000 ns | PC: 004001e8 | ALU_Out: 004001ec
Time: 4915000 ns | PC: 004001ec | ALU_Out: 004001f0
Time: 4955000 ns | PC: 004001f0 | ALU_Out: 004001f4
Time: 4995000 ns | PC: 004001f4 | ALU_Out: 004001f8
Time: 5035000 ns | PC: 004001f8 | ALU_Out: 004001fc
Time: 5075000 ns | PC: 004001fc | ALU_Out: 00400200
Time: 5115000 ns | PC: 00400200 | ALU_Out: 00400204
Time: 5155000 ns | PC: 00400204 | ALU_Out: 00400208
Time: 5195000 ns | PC: 00400208 | ALU_Out: 0040020c
Time: 5235000 ns | PC: 0040020c | ALU_Out: 00400210
Time: 5275000 ns | PC: 00400210 | ALU_Out: 00400214
Time: 5315000 ns | PC: 00400214 | ALU_Out: 00400218
Time: 5355000 ns | PC: 00400218 | ALU_Out: 0040021c
Time: 5395000 ns | PC: 0040021c | ALU_Out: 00400220
Time: 5435000 ns | PC: 00400220 | ALU_Out: 00400224
Time: 5475000 ns | PC: 00400224 | ALU_Out: 00400228
Time: 5515000 ns | PC: 00400228 | ALU_Out: 0040022c
Time: 5555000 ns | PC: 0040022c | ALU_Out: 00400230
Time: 5595000 ns | PC: 00400230 | ALU_Out: 00400234
Time: 5635000 ns | PC: 00400234 | ALU_Out: 00400238
Time: 5675000 ns | PC: 00400238 | ALU_Out: 0040023c
Time: 5715000 ns | PC: 0040023c | ALU_Out: 00400240
Time: 5755000 ns | PC: 00400240 | ALU_Out: 00400244
Time: 5795000 ns | PC: 00400244 | ALU_Out: 00400248
Time: 5835000 ns | PC: 00400248 | ALU_Out: 0040024c
Time: 5875000 ns | PC: 0040024c | ALU_Out: 00400250
Time: 5915000 ns | PC: 00400250 | ALU_Out: 00400254
Time: 5955000 ns | PC: 00400254 | ALU_Out: 00400258
Time: 5995000 ns | PC: 00400258 | ALU_Out: 0040025c
Time: 6035000 ns | PC: 0040025c | ALU_Out: 00400260
Time: 6075000 ns | PC: 00400260 | ALU_Out: 00400264
Time: 6115000 ns | PC: 00400264 | ALU_Out: 00400268
Time: 6155000 ns | PC: 00400268 | ALU_Out: 0040026c
Time: 6195000 ns | PC: 0040026c | ALU_Out: 00400270
Time: 6235000 ns | PC: 00400270 | ALU_Out: 00400274
Time: 6275000 ns | PC: 00400274 | ALU_Out: 00400278
Time: 6315000 ns | PC: 00400278 | ALU_Out: 0040027c
Time: 6355000 ns | PC: 0040027c | ALU_Out: 00400280
Time: 6395000 ns | PC: 00400280 | ALU_Out: 00400284
Time: 6435000 ns | PC: 00400284 | ALU_Out: 00400288
Time: 6475000 ns | PC: 00400288 | ALU_Out: 0040028c
Time: 6515000 ns | PC: 0040028c | ALU_Out: 00400290
Time: 6555000 ns | PC: 00400290 | ALU_Out: 00400294
Time: 6595000 ns | PC: 00400294 | ALU_Out: 00400298
Time: 6635000 ns | PC: 00400298 | ALU_Out: 0040029c
Time: 6675000 ns | PC: 0040029c | ALU_Out: 004002a0
Time: 6715000 ns | PC: 004002a0 | ALU_Out: 004002a4
Time: 6755000 ns | PC: 004002a4 | ALU_Out: 004002a8
Time: 6795000 ns | PC: 004002a8 | ALU_Out: 004002ac
Time: 6835000 ns | PC: 004002ac | ALU_Out: 004002b0
Time: 6875000 ns | PC: 004002b0 | ALU_Out: 004002b4
Time: 6915000 ns | PC: 004002b4 | ALU_Out: 004002b8
Time: 6955000 ns | PC: 004002b8 | ALU_Out: 004002bc
Time: 6995000 ns | PC: 004002bc | ALU_Out: 004002c0
Time: 7035000 ns | PC: 004002c0 | ALU_Out: 004002c4
Time: 7075000 ns | PC: 004002c4 | ALU_Out: 004002c8
Time: 7115000 ns | PC: 004002c8 | ALU_Out: 004002cc
Time: 7155000 ns | PC: 004002cc | ALU_Out: 004002d0
Time: 7195000 ns | PC: 004002d0 | ALU_Out: 004002d4
Time: 7235000 ns | PC: 004002d4 | ALU_Out: 004002d8
Time: 7275000 ns | PC: 004002d8 | ALU_Out: 004002dc
Time: 7315000 ns | PC: 004002dc | ALU_Out: 004002e0
Time: 7355000 ns | PC: 004002e0 | ALU_Out: 004002e4
Time: 7395000 ns | PC: 004002e4 | ALU_Out: 004002e8
Time: 7435000 ns | PC: 004002e8 | ALU_Out: 004002ec
Time: 7475000 ns | PC: 004002ec | ALU_Out: 004002f0
Time: 7515000 ns | PC: 004002f0 | ALU_Out: 004002f4
Time: 7555000 ns | PC: 004002f4 | ALU_Out: 004002f8
Time: 7595000 ns | PC: 004002f8 | ALU_Out: 004002fc
Time: 7635000 ns | PC: 004002fc | ALU_Out: 00400300
Time: 7675000 ns | PC: 00400300 | ALU_Out: 00400304
Time: 7715000 ns | PC: 00400304 | ALU_Out: 00400308
Time: 7755000 ns | PC: 00400308 | ALU_Out: 0040030c
Time: 7795000 ns | PC: 0040030c | ALU_Out: 00400310
Time: 7835000 ns | PC: 00400310 | ALU_Out: 00400314
Time: 7875000 ns | PC: 00400314 | ALU_Out: 00400318
Time: 7915000 ns | PC: 00400318 | ALU_Out: 0040031c
Time: 7955000 ns | PC: 0040031c | ALU_Out: 00400320
Time: 7995000 ns | PC: 00400320 | ALU_Out: 00400324
Time: 8035000 ns | PC: 00400324 | ALU_Out: 00400328
Time: 8075000 ns | PC: 00400328 | ALU_Out: 0040032c
Time: 8115000 ns | PC: 0040032c | ALU_Out: 00400330
Time: 8155000 ns | PC: 00400330 | ALU_Out: 00400334
Time: 8195000 ns | PC: 00400334 | ALU_Out: 00400338
Time: 8235000 ns | PC: 00400338 | ALU_Out: 0040033c
Time: 8275000 ns | PC: 0040033c | ALU_Out: 00400340
Time: 8315000 ns | PC: 00400340 | ALU_Out: 00400344
Time: 8355000 ns | PC: 00400344 | ALU_Out: 00400348
Time: 8395000 ns | PC: 00400348 | ALU_Out: 0040034c
Time: 8435000 ns | PC: 0040034c | ALU_Out: 00400350
Time: 8475000 ns | PC: 00400350 | ALU_Out: 00400354
Time: 8515000 ns | PC: 00400354 | ALU_Out: 00400358
Time: 8555000 ns | PC: 00400358 | ALU_Out: 0040035c
Time: 8595000 ns | PC: 0040035c | ALU_Out: 00400360
Time: 8635000 ns | PC: 00400360 | ALU_Out: 00400364
Time: 8675000 ns | PC: 00400364 | ALU_Out: 00400368
Time: 8715000 ns | PC: 00400368 | ALU_Out: 0040036c
Time: 8755000 ns | PC: 0040036c | ALU_Out: 00400370
Time: 8795000 ns | PC: 00400370 | ALU_Out: 00400374
Time: 8835000 ns | PC: 00400374 | ALU_Out: 00400378
Time: 8875000 ns | PC: 00400378 | ALU_Out: 0040037c
Time: 8915000 ns | PC: 0040037c | ALU_Out: 00400380
Time: 8955000 ns | PC: 00400380 | ALU_Out: 00400384
Time: 8995000 ns | PC: 00400384 | ALU_Out: 00400388
Time: 9035000 ns | PC: 00400388 | ALU_Out: 0040038c
Time: 9075000 ns | PC: 0040038c | ALU_Out: 00400390
Time: 9115000 ns | PC: 00400390 | ALU_Out: 00400394
Time: 9155000 ns | PC: 00400394 | ALU_Out: 00400398
Time: 9195000 ns | PC: 00400398 | ALU_Out: 0040039c
Time: 9235000 ns | PC: 0040039c | ALU_Out: 004003a0
Time: 9275000 ns | PC: 004003a0 | ALU_Out: 004003a4
Time: 9315000 ns | PC: 004003a4 | ALU_Out: 004003a8
Time: 9355000 ns | PC: 004003a8 | ALU_Out: 004003ac
Time: 9395000 ns | PC: 004003ac | ALU_Out: 004003b0
Time: 9435000 ns | PC: 004003b0 | ALU_Out: 004003b4
Time: 9475000 ns | PC: 004003b4 | ALU_Out: 004003b8
Time: 9515000 ns | PC: 004003b8 | ALU_Out: 004003bc
Time: 9555000 ns | PC: 004003bc | ALU_Out: 004003c0
Time: 9595000 ns | PC: 004003c0 | ALU_Out: 004003c4
Time: 9635000 ns | PC: 004003c4 | ALU_Out: 004003c8
Time: 9675000 ns | PC: 004003c8 | ALU_Out: 004003cc
Time: 9715000 ns | PC: 004003cc | ALU_Out: 004003d0
Time: 9755000 ns | PC: 004003d0 | ALU_Out: 004003d4
Time: 9795000 ns | PC: 004003d4 | ALU_Out: 004003d8
